step,seed1,seed2,seed3,seed4,seed5
137000,6.33,5.51,5.51,5.48,6.16
138000,6.15,5.53,5.56,5.43,6.01
139000,6.04,5.48,5.37,5.55,6.43
140000,6.2,5.71,5.25,5.49,6.44
141000,6.2,5.82,5.24,5.54,6.36
142000,5.99,6.11,5.26,5.74,6.22
143000,6.05,6.17,5.27,5.97,6.07
144000,6.56,6.16,5.38,5.87,5.99
145000,6.71,6.33,5.67,6.15,5.96
146000,6.78,6.18,5.94,5.94,5.9
147000,6.55,6.08,6.09,6.05,5.63
148000,6.67,6.34,6.19,6.15,5.95
149000,7.12,6.26,5.89,6.01,6.09
150000,6.76,6.29,6.36,6.07,6.01
151000,6.23,6.23,6.46,5.99,5.91
152000,6.33,6.5,6.14,5.92,6.46
153000,6.47,6.88,5.85,5.55,6.77
154000,6.63,6.8,5.58,5.63,6.56
155000,6.5,6.55,5.34,5.52,6.53
156000,6.81,6.78,5.23,5.65,6.86
157000,7.17,6.56,5.39,6.0,6.81
158000,7.31,6.42,5.17,5.95,7.01
159000,7.23,5.93,5.3,6.29,6.95
160000,7.01,5.93,5.52,6.76,7.38
161000,7.25,6.15,5.61,6.52,7.49
162000,6.49,6.21,5.52,6.37,7.12
163000,6.77,6.38,5.58,6.22,7.51
164000,6.87,6.8,5.39,6.16,7.22
165000,6.2,6.87,5.7,6.19,7.16
166000,6.13,6.98,5.36,6.14,6.71
167000,6.09,7.06,5.13,6.09,6.78
168000,6.4,7.04,5.47,6.52,6.76
169000,5.61,6.81,5.87,6.57,7.29
170000,5.77,6.98,5.87,6.77,7.21
171000,5.99,6.53,5.86,7.03,7.22
172000,6.15,6.49,5.89,6.97,6.88
173000,6.01,6.46,6.11,7.15,6.94
174000,6.16,6.31,6.51,7.45,7.12
175000,6.35,6.53,6.92,7.5,7.2
176000,6.68,6.68,6.34,7.85,7.03
177000,6.92,6.9,6.28,7.65,7.04
178000,6.83,6.79,5.9,7.34,7.17
179000,7.3,6.95,5.92,7.15,6.92
180000,7.07,7.28,6.04,6.34,6.92
181000,6.8,7.34,6.0,6.47,6.88
182000,6.99,7.6,6.02,6.14,6.32
183000,7.01,7.34,6.31,6.2,6.32
184000,6.94,7.22,6.42,6.11,6.38
185000,6.98,7.56,6.62,6.69,6.72
186000,7.43,7.45,6.63,6.38,6.58
187000,7.73,7.33,6.99,6.86,6.8
188000,7.81,7.73,6.84,6.68,6.91
189000,8.11,7.87,6.61,6.84,7.12
190000,8.1,7.86,6.79,6.64,7.09
191000,8.26,7.48,6.81,6.53,7.31
192000,8.46,7.39,6.86,6.4,7.41
193000,8.73,7.54,6.15,6.11,7.29
194000,9.05,7.65,6.06,6.05,7.51
195000,8.48,7.84,6.36,5.92,7.19
196000,8.62,7.5,6.33,6.35,7.27
197000,8.99,7.86,6.06,6.58,7.58
198000,9.31,8.0,6.03,6.6,7.57
199000,9.58,8.49,6.2,7.13,7.44
200000,9.91,8.36,6.54,7.44,7.12
201000,9.96,8.43,6.58,7.44,7.44
202000,9.86,8.44,6.66,7.71,7.35
203000,9.75,8.46,6.64,7.26,7.46
204000,9.67,8.43,6.74,7.36,7.15
205000,9.97,8.58,6.64,6.89,7.42
206000,10.14,8.61,6.67,6.79,7.73
207000,9.05,8.94,7.08,6.84,7.84
