step,seed1,seed2,seed3,seed4,seed5
138000,0.48,0.09,0.27,0.22,0.53
139000,0.44,0.14,0.27,0.25,0.48
140000,0.44,0.2,0.29,0.32,0.49
141000,0.38,0.19,0.22,0.3,0.53
142000,0.42,0.26,0.25,0.35,0.5
143000,0.43,0.27,0.31,0.36,0.48
144000,0.41,0.26,0.29,0.5,0.49
145000,0.43,0.24,0.32,0.52,0.56
146000,0.43,0.25,0.35,0.53,0.54
147000,0.46,0.21,0.36,0.43,0.46
148000,0.42,0.26,0.33,0.45,0.38
149000,0.39,0.28,0.34,0.45,0.37
150000,0.4,0.29,0.33,0.32,0.37
151000,0.34,0.31,0.28,0.32,0.34
152000,0.33,0.32,0.29,0.31,0.28
153000,0.33,0.3,0.28,0.3,0.23
154000,0.3,0.3,0.28,0.37,0.33
155000,0.33,0.28,0.29,0.4,0.33
156000,0.34,0.31,0.27,0.39,0.39
157000,0.38,0.28,0.3,0.42,0.43
158000,0.4,0.29,0.29,0.44,0.41
159000,0.34,0.25,0.38,0.44,0.5
160000,0.31,0.22,0.44,0.42,0.43
161000,0.35,0.19,0.42,0.4,0.42
162000,0.37,0.19,0.4,0.28,0.4
163000,0.39,0.15,0.36,0.28,0.36
164000,0.36,0.17,0.26,0.34,0.31
165000,0.39,0.18,0.26,0.34,0.32
166000,0.41,0.18,0.21,0.39,0.27
167000,0.43,0.19,0.24,0.4,0.34
168000,0.38,0.21,0.31,0.49,0.38
169000,0.38,0.26,0.33,0.52,0.37
170000,0.33,0.27,0.38,0.55,0.41
171000,0.31,0.3,0.37,0.49,0.44
172000,0.38,0.27,0.37,0.49,0.49
173000,0.39,0.27,0.41,0.48,0.52
174000,0.4,0.24,0.39,0.43,0.5
175000,0.36,0.3,0.46,0.48,0.52
176000,0.36,0.31,0.4,0.49,0.51
177000,0.33,0.29,0.36,0.36,0.49
178000,0.2,0.32,0.34,0.33,0.44
179000,0.15,0.4,0.36,0.41,0.3
180000,0.19,0.4,0.36,0.45,0.3
181000,0.19,0.4,0.31,0.5,0.24
182000,0.26,0.34,0.37,0.51,0.18
183000,0.3,0.35,0.37,0.48,0.19
184000,0.34,0.32,0.4,0.52,0.2
185000,0.39,0.26,0.42,0.61,0.22
186000,0.4,0.29,0.43,0.61,0.26
187000,0.46,0.33,0.43,0.63,0.29
188000,0.47,0.41,0.4,0.59,0.38
189000,0.49,0.39,0.38,0.53,0.43
190000,0.5,0.41,0.35,0.54,0.42
191000,0.51,0.46,0.38,0.55,0.44
192000,0.49,0.47,0.33,0.6,0.4
193000,0.47,0.48,0.35,0.57,0.41
194000,0.36,0.43,0.35,0.5,0.43
195000,0.32,0.39,0.36,0.5,0.33
196000,0.25,0.36,0.39,0.49,0.3
197000,0.18,0.3,0.37,0.55,0.33
198000,0.18,0.3,0.39,0.55,0.34
199000,0.22,0.24,0.4,0.58,0.35
200000,0.23,0.25,0.35,0.59,0.36
201000,0.26,0.28,0.37,0.59,0.35
202000,0.3,0.33,0.4,0.57,0.38
203000,0.35,0.34,0.3,0.57,0.41
204000,0.37,0.36,0.31,0.62,0.43
205000,0.41,0.44,0.31,0.6,0.45
206000,0.4,0.48,0.33,0.62,0.48
207000,0.46,0.48,0.35,0.61,0.5
208000,0.51,0.4,0.37,0.59,0.52
209000,0.5,0.44,0.39,0.53,0.53
210000,0.51,0.5,0.39,0.54,0.53
211000,0.52,0.48,0.42,0.53,0.42
212000,0.49,0.52,0.43,0.59,0.44
213000,0.55,0.54,0.46,0.53,0.39
214000,0.47,0.57,0.5,0.55,0.38
215000,0.43,0.55,0.49,0.51,0.37
216000,0.47,0.56,0.5,0.45,0.39
217000,0.44,0.58,0.56,0.48,0.4
218000,0.48,0.51,0.58,0.44,0.39
219000,0.53,0.42,0.57,0.46,0.42
220000,0.58,0.34,0.57,0.46,0.47
221000,0.59,0.36,0.57,0.51,0.5
222000,0.57,0.34,0.64,0.46,0.49
223000,0.61,0.35,0.56,0.48,0.47
224000,0.59,0.35,0.5,0.48,0.45
225000,0.62,0.39,0.54,0.46,0.45
226000,0.6,0.41,0.48,0.47,0.44
227000,0.52,0.46,0.43,0.51,0.45
228000,0.48,0.45,0.46,0.54,0.49
229000,0.46,0.46,0.37,0.6,0.46
230000,0.45,0.46,0.38,0.58,0.47
231000,0.44,0.49,0.44,0.54,0.48
232000,0.47,0.42,0.51,0.56,0.5
233000,0.43,0.42,0.57,0.6,0.5
234000,0.42,0.38,0.56,0.61,0.48
235000,0.47,0.35,0.6,0.66,0.42
236000,0.52,0.34,0.67,0.7,0.41
237000,0.53,0.35,0.63,0.71,0.35
238000,0.59,0.33,0.64,0.69,0.36
239000,0.64,0.24,0.61,0.7,0.4
240000,0.7,0.31,0.58,0.71,0.42
241000,0.75,0.31,0.55,0.68,0.44
242000,0.7,0.28,0.46,0.67,0.49
243000,0.71,0.31,0.45,0.67,0.53
244000,0.74,0.31,0.47,0.65,0.57
245000,0.67,0.34,0.41,0.61,0.63
246000,0.65,0.38,0.38,0.53,0.63
247000,0.68,0.3,0.4,0.53,0.62
248000,0.65,0.35,0.39,0.53,0.55
249000,0.57,0.32,0.4,0.54,0.47
250000,0.43,0.39,0.47,0.53,0.5
251000,0.48,0.37,0.53,0.48,0.36
252000,0.4,0.37,0.56,0.4,0.31
253000,0.43,0.36,0.49,0.39,0.28
