step,seed1,seed2,seed3,seed4,seed5
138000,0.25,0.27,0.23,0.18,0.24
139000,0.28,0.28,0.18,0.21,0.3
140000,0.25,0.27,0.18,0.16,0.35
141000,0.22,0.22,0.25,0.16,0.34
142000,0.18,0.23,0.2,0.17,0.3
143000,0.15,0.24,0.25,0.21,0.35
144000,0.17,0.22,0.24,0.21,0.35
145000,0.19,0.2,0.24,0.2,0.34
146000,0.19,0.2,0.22,0.21,0.33
147000,0.22,0.17,0.21,0.18,0.34
148000,0.2,0.17,0.22,0.22,0.41
149000,0.19,0.14,0.24,0.25,0.45
150000,0.2,0.16,0.25,0.3,0.49
151000,0.21,0.23,0.19,0.35,0.46
152000,0.24,0.25,0.19,0.32,0.43
153000,0.24,0.29,0.18,0.32,0.39
154000,0.28,0.28,0.16,0.3,0.39
155000,0.26,0.27,0.16,0.32,0.36
156000,0.32,0.3,0.22,0.23,0.36
157000,0.29,0.25,0.27,0.24,0.3
158000,0.3,0.25,0.26,0.2,0.33
159000,0.31,0.31,0.27,0.17,0.3
160000,0.29,0.26,0.24,0.16,0.28
161000,0.25,0.3,0.23,0.19,0.29
162000,0.27,0.29,0.18,0.2,0.23
163000,0.3,0.29,0.13,0.24,0.21
164000,0.31,0.3,0.2,0.23,0.24
165000,0.34,0.26,0.23,0.25,0.31
166000,0.27,0.25,0.18,0.19,0.34
167000,0.29,0.23,0.16,0.18,0.37
168000,0.26,0.23,0.19,0.19,0.33
169000,0.2,0.19,0.17,0.19,0.36
170000,0.2,0.18,0.19,0.17,0.38
171000,0.17,0.2,0.2,0.2,0.37
172000,0.13,0.24,0.21,0.2,0.37
173000,0.2,0.25,0.29,0.21,0.34
174000,0.15,0.27,0.33,0.19,0.38
175000,0.18,0.29,0.26,0.17,0.41
176000,0.22,0.31,0.35,0.17,0.45
177000,0.27,0.34,0.36,0.15,0.49
178000,0.22,0.31,0.33,0.2,0.43
179000,0.21,0.31,0.25,0.21,0.36
180000,0.22,0.35,0.24,0.26,0.34
181000,0.22,0.32,0.21,0.27,0.36
182000,0.21,0.31,0.22,0.29,0.35
183000,0.18,0.29,0.22,0.3,0.36
